QuizID,Category,QuestionID,Type,Question,Option,IsCorrect
1,K-pop,101,multiple_choice,BTS의 김석진(Jin)이 군복무를 마치고 전역한 날짜는 언제인가요?,2024년 6월 12일,Y
1,K-pop,101,multiple_choice,BTS의 김석진(Jin)이 군복무를 마치고 전역한 날짜는 언제인가요?,2024년 12월 13일,
1,K-pop,101,multiple_choice,BTS의 김석진(Jin)이 군복무를 마치고 전역한 날짜는 언제인가요?,2025년 6월 12일,
1,K-pop,101,multiple_choice,BTS의 김석진(Jin)이 군복무를 마치고 전역한 날짜는 언제인가요?,2023년 6월 12일,
456,K-pop,789,multiple_choice,다음 중 BTS의 미니앨범 'MAP OF THE SOUL: PERSONA'의 타이틀곡은 무엇인가요?,작은 것들을 위한 시 (Boy With Luv),Y
456,K-pop,789,multiple_choice,다음 중 BTS의 미니앨범 'MAP OF THE SOUL: PERSONA'의 타이틀곡은 무엇인가요?,ON,
456,K-pop,789,multiple_choice,다음 중 BTS의 미니앨범 'MAP OF THE SOUL: PERSONA'의 타이틀곡은 무엇인가요?,Dynamite,
456,K-pop,789,multiple_choice,다음 중 BTS의 미니앨범 'MAP OF THE SOUL: PERSONA'의 타이틀곡은 무엇인가요?,Butter,
1,K-pop,101,multiple_choice,"2020년 발매된 BTS의 첫 영어 싱글로, 빌보드 핫100 차트에서 1위를 차지한 곡은?",Dynamite,Y
1,K-pop,101,multiple_choice,"2020년 발매된 BTS의 첫 영어 싱글로, 빌보드 핫100 차트에서 1위를 차지한 곡은?",Butter,
1,K-pop,101,multiple_choice,"2020년 발매된 BTS의 첫 영어 싱글로, 빌보드 핫100 차트에서 1위를 차지한 곡은?",Permission to Dance,
1,K-pop,101,multiple_choice,"2020년 발매된 BTS의 첫 영어 싱글로, 빌보드 핫100 차트에서 1위를 차지한 곡은?",Life Goes On,
1287,K-pop Lyrics,3429,lyrics_blank,BTS의 'Life Goes On' 가사 중 빈칸에 알맞은 표현은? '저 미래로 달아나자 _____ 하루가 돌아오겠지 아무 일도 없단 듯이',Like an echo in the forest,Y
1287,K-pop Lyrics,3429,lyrics_blank,BTS의 'Life Goes On' 가사 중 빈칸에 알맞은 표현은? '저 미래로 달아나자 _____ 하루가 돌아오겠지 아무 일도 없단 듯이',Like an arrow in the blue sky,
1287,K-pop Lyrics,3429,lyrics_blank,BTS의 'Life Goes On' 가사 중 빈칸에 알맞은 표현은? '저 미래로 달아나자 _____ 하루가 돌아오겠지 아무 일도 없단 듯이',"On my pillow, on my table",
1287,K-pop Lyrics,3429,lyrics_blank,BTS의 'Life Goes On' 가사 중 빈칸에 알맞은 표현은? '저 미래로 달아나자 _____ 하루가 돌아오겠지 아무 일도 없단 듯이',Like this again,
1,K-pop History,101,Multiple Choice,2025년 방탄소년단 지민의 빌보드 '핫 100' 차트 기록으로 옳은 것은?,28주 차트인으로 역대 K팝 최장 기록,Y
1,K-pop History,101,Multiple Choice,2025년 방탄소년단 지민의 빌보드 '핫 100' 차트 기록으로 옳은 것은?,20주 차트인으로 역대 K팝 최장 기록,
1,K-pop History,101,Multiple Choice,2025년 방탄소년단 지민의 빌보드 '핫 100' 차트 기록으로 옳은 것은?,28주 차트인이지만 역대 최장은 아님,
1,K-pop History,101,Multiple Choice,2025년 방탄소년단 지민의 빌보드 '핫 100' 차트 기록으로 옳은 것은?,14주 차트인으로 자신의 최고 기록,
